,投稿日,この製品のいい点,改善してほしい点,メリット,おすすめポイント
0,2024/06/08,世の中が基本領収書もPDF化されており、PDFを自動読み取りしてくれるため精算が非常にスムーズです。承認の進捗具合もメールで連絡が来るためわかりやすいです。,領収書のPDFが取り込まれた際に、領収書の発行日が読み込まれることがあり、実際に取引が発生した日時と乖離があることが時々あります。システムの不具合がありましたか？特にありません。,インボイス制度にもいち早く適応したため、大きな混乱もなく経費精算が行えています。また、無駄に領収書の原紙を紙で保管する必要は無くなります。,まずは検討されてみては良いのではないでしょうか。
1,2024/06/02,法人クレジットカード(コーポレートカード)との連携ができること。また、自社の運用に沿ってある程度カスタマイズ機能があること。,モバイル端末で使いづらかった。パソコンでの操作のみを想定している印象です。当社はインターネットPC端末が1台しかないため、毎月の精算前にPC前が渋滞しました。,外回り営業員が外で支払うガソリン代などの管理、精算が楽になりました。特にコーポレートカードとの連携が可能なことで、精算申請の事務処理も以前の半分以下の労力でできるようになりました。この口コミを詳しく見る,ットカード(コーポレートカード)との連携ができること。また、自社の運用に沿ってある程度カスタマイズ機能があること。楽楽精算の改善してほしい点モバイル端末で使いづらかった。パソコンでの操作のみを想定している印象です。当社はインターネットPC端末が1台しかないため、毎月の精算前にPC前が渋滞しました。楽楽精算導入で得られた効果・メリット外回り営業員が外で支払うガソリン代などの管理、精算が楽になりました。特にコーポレートカードとの連携が可能なことで、精算申請の事務処理も以前の半分以下の労力でできるようになりました。
2,2024/05/30,経費精算システム。pcやスマホから申請ができて便利。領収書を読み込んで添付することで、支店が複数店舗ある場合や距離が遠い場所に複数ある場合には便利。事前に購入していいかの承認を得られる機能もあるため便利。,私の会社では一定額以上の買い物をする際に事前に承認が必要。その申請も楽楽精算でできるのだが承認までに時間がかかることがある。もちろん上司の問題だが、忘れられていそうな時や催促したい時にお知らせするみたいな機能があれば便利だと思った。システムの不具合がありましたか？特になし,わたしは支店の経理を担当しているため営業さんの経費申請をしなければいけなかったが、写真を撮って読み込むだけでいつどこでいくら使ったのか自動入力してくれるのでかかる時間が圧倒的に減った。,導入コストなどが分からないためコスパは正直不明。ユーザーからしてみると便利であることは間違いない。
3,2024/05/30,新型コロナウイルス時期に導入したが今までは出張費と経費は紙での申請だったため会社に出勤して申請していたが導入のおかげで家からでも申請できるようになった。,月に１度程度しか使用していないため改善して欲しいところは無いが領収書撮影時に社名と金額が異なることが多い,今まで紙で回していたため申請金額が振り込まれるまで状況が分からず紛失も何度かあったが導入のおかげで見える化できたこの口コミを詳しく見る,ウイルス時期に導入したが今までは出張費と経費は紙での申請だったため会社に出勤して申請していたが導入のおかげで家からでも申請できるようになった。楽楽精算の改善してほしい点月に１度程度しか使用していないため改善して欲しいところは無いが領収書撮影時に社名と金額が異なることが多い楽楽精算導入で得られた効果・メリット今まで紙で回していたため申請金額が振り込まれるまで状況が分からず紛失も何度かあったが導入のおかげで見える化できた
4,2024/05/30,特に領収書やレシートを撮影すれば自動で打ち込まれるので、手入力する必要がないです。よって、数字のミスなどがしにくいです。,2つあります。慣れるまでは手順がわかりにくく、マニュアルを見て申請方法を覚えなければならないこと。スキャンの間違いも時にはあるということ。少しずつでいいので、改善されていくといいです。,ペーパーレスなので経費の申請に紙を使わず、環境に優しい。スマホから撮って申請できるので、出先からでも提出が可能です。この口コミを詳しく見る,やレシートを撮影すれば自動で打ち込まれるので、手入力する必要がないです。よって、数字のミスなどがしにくいです。楽楽精算の改善してほしい点2つあります。慣れるまでは手順がわかりにくく、マニュアルを見て申請方法を覚えなければならないこと。スキャンの間違いも時にはあるということ。少しずつでいいので、改善されていくといいです。楽楽精算導入で得られた効果・メリットペーパーレスなので経費の申請に紙を使わず、環境に優しい。スマホから撮って申請できるので、出先からでも提出が可能です。
5,2024/05/28,備品購入などの経費を、レシートまたは領収書をスマホかスキャナーで読み取るだけで、ほぼ入力いらずで申請ができます。,たまにレシートや領収書の読み取り間違いがあることくらいで、さほど重大な不満、不具合は今までなかったです。,前は紙の申請だったので、それに比べるとスムーズで面倒くさくなくなりましたし、読み取りで自動で入るので、間違いが少なくなりました。この口コミを詳しく見る,どの経費を、レシートまたは領収書をスマホかスキャナーで読み取るだけで、ほぼ入力いらずで申請ができます。楽楽精算の改善してほしい点たまにレシートや領収書の読み取り間違いがあることくらいで、さほど重大な不満、不具合は今までなかったです。楽楽精算導入で得られた効果・メリット前は紙の申請だったので、それに比べるとスムーズで面倒くさくなくなりましたし、読み取りで自動で入るので、間違いが少なくなりました。
6,2024/05/28,交通費などを精算する際に使用するのですが、いちいち領収書などが必要だったのですが、簡単な電車移動だけの交通費精算なら移動した駅から駅を入力するだけ済みます。また定期を含むこともできるので定期範囲以外を精算してくれるので不正なども防げる。また領収書が必要な際には写真をとってアップロードするだけでOKであとは簡単に入力するだけです。,写真をアップロードする際、携帯からだと簡単にできるのですが、パソコンからだと少しめんどくさいパターンになってしまうこと。,経理の際、会社が出張などが多い為交通費精算が多いので、それが楽楽精算を使うことによりユーザーや導入した会社双方が簡単に精算処理を行うことが出来る。つまり業務の効率化の面でかなり役に立っていると思います。この口コミを詳しく見る,を精算する際に使用するのですが、いちいち領収書などが必要だったのですが、簡単な電車移動だけの交通費精算なら移動した駅から駅を入力するだけ済みます。また定期を含むこともできるので定期範囲以外を精算してくれるので不正なども防げる。また領収書が必要な際には写真をとってアップロードするだけでOKであとは簡単に入力するだけです。楽楽精算の改善してほしい点写真をアップロードする際、携帯からだと簡単にできるのですが、パソコンからだと少しめんどくさいパターンになってしまうこと。楽楽精算導入で得られた効果・メリット経理の際、会社が出張などが多い為交通費精算が多いので、それが楽楽精算を使うことによりユーザーや導入した会社双方が簡単に精算処理を行うことが出来る。つまり業務の効率化の面でかなり役に立っていると思います。
7,2024/05/28,精算等で回覧が必要なとき、すべてネット上で進み、押印も電子でできます。上長が在宅勤務や出張時でも対応してもらえるので、待つことがなくなった。,インボイスなど、どういったときにどう操作するかなど、操作に関する説明(動画)をすぐに見れるようにしてほしい。現在もあるのかもしれないが、見つけられていない(見つけにくい場所にあるのか)。,わざわざハンコをもらいに出社することがなくなったのはありがたい。また、すべてネット上で完結するため、紙を印刷する手間もなくなった。この口コミを詳しく見る,覧が必要なとき、すべてネット上で進み、押印も電子でできます。上長が在宅勤務や出張時でも対応してもらえるので、待つことがなくなった。楽楽精算の改善してほしい点インボイスなど、どういったときにどう操作するかなど、操作に関する説明(動画)をすぐに見れるようにしてほしい。現在もあるのかもしれないが、見つけられていない(見つけにくい場所にあるのか)。楽楽精算導入で得られた効果・メリットわざわざハンコをもらいに出社することがなくなったのはありがたい。また、すべてネット上で完結するため、紙を印刷する手間もなくなった。
8,2024/05/26,経費の精算が効率的にできます。レシートや領収書をスマホで読み取れば、入力しなくて大丈夫なので、間違いも少なくて非常に楽です。,読み取りの精度は信用できますが、それでも100％ではないので、もっとミスがなく高性能になって欲しいです。,導入する前は、一つ一つ経費を紙で申請していてかなり面倒でしたが、楽楽精算を入れてからは写真を撮って何度かクリックするだけなので、かなり効率が良くなりました。この口コミを詳しく見る,が効率的にできます。レシートや領収書をスマホで読み取れば、入力しなくて大丈夫なので、間違いも少なくて非常に楽です。楽楽精算の改善してほしい点読み取りの精度は信用できますが、それでも100％ではないので、もっとミスがなく高性能になって欲しいです。楽楽精算導入で得られた効果・メリット導入する前は、一つ一つ経費を紙で申請していてかなり面倒でしたが、楽楽精算を入れてからは写真を撮って何度かクリックするだけなので、かなり効率が良くなりました。
9,2024/05/24,出張申請がわざわざ上司にハンコをもらいに行かなくなり及び精算も簡単に出来る。領収書の添付が少しめんどくさい。,色々な機能がついているが細かくて分かりづらい。画面も細かいので、ボタンを押したら使える様にしてほしい。システムの不具合がありましたか？領収書を貼り付ける時に、なかなか添付出来なかった。,以前だと課長、部長のハンコをわざわざ席まで行き、もらっていたが、電子で出張申請と精算が出来るので、時間短縮出来た。,煩わしい上司にハンコをもらいに行かなくてすむ。
